1 ('+', '*', '+', '-', '/') (25, 100, 7, 9, 3, 7)
378 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
379 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
380 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
381 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
382 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
383 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
384 ('+', '*', '-', '/', '-') (7, 100, 25, 9, 3, 7)
385 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
386 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
387 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
388 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
389 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
390 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
391 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
392 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
393 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
394 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
395 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
396 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
397 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
398 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
399 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
400 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 25, 3)
401 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
402 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
403 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
404 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
405 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
406 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
407 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
408 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
409 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
410 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
411 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
412 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
413 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
414 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
415 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
416 ('/', '+', '*', '-', '-') (7, 7, 100, 9, 3, 25)
